seller_ID;seller_name;type;member_since;country;address
1;PartyNator;Private;2012;Spain;
2;CValle;Private;2020;Spain;
3;MarcoSanzin;Private;2016;Italy;
4;MagicBivio;Private;2021;Italy;
5;Tezzeret84;Private;2009;Spain;
6;Lordburka;Private;2015;Netherlands;
7;Lanowar69;Private;2019;Italy;
8;magicpartcard;Private;2017;Netherlands;
9;stanislaf;Private;2013;Belgium;
10;Thrymiir;Private;2020;France;
11;daidojilaurent;Private;2013;France;
12;Pain4444;Private;2016;Austria;
13;sovmar;Private;2013;Portugal;
14;Ceribe;Private;2015;Poland;
15;CommanderStaples;Private;2019;Finland;
16;BechaMecha;Private;2015;Italy;
17;TJHollaar;Private;2017;Netherlands;
18;MadridMagic;Private;2016;Spain;
19;DHGames;Professional;2011;Finland;Itsen‰isyydenkatu 38a C 22, 28130 Pori, Finland
20;DombekTorun;Private;2016;Poland;
21;BaukeS;Private;2018;Netherlands;
22;plkfd;Private;2018;France;
23;Zoocomics;Professional;2018;Norway;Anders baars veg 25b, 3737 Skien, Norway
24;MTG-Prime;Professional;2018;France;34 rue Combanaire, 36000 Ch‚teauroux, France
25;FrankvdWaals;Private;2015;Netherlands;
26;GunCha;Private;2018;Latvia;
27;OliverFarkash;Private;2020;Netherlands;
28;hobbitfred;Private;2015;France;
29;Tyron-Heartz;Private;2016;Portugal;
30;cultus;Private;2016;Spain;
31;bendu71;Private;2016;France;
32;Kungfupeet;Private;2019;Netherlands;
33;TheCoonRises;Powerseller;2016;Germany;Neue Straﬂe 46, 89073 Ulm, Germany
34;kARNN;Private;2015;France;
35;RedDragonMagic;Private;2012;Spain;
36;fuxxi;Private;2013;Germany;
37;maglaf88;Private;2014;France;
38;Dinis;Private;2014;Portugal;
39;Akroma44;Private;2011;Germany;
40;38Shizo;Private;2019;Germany;
41;Matze-KungFury;Private;2019;Germany;
42;pantufas;Private;2013;Portugal;
43;Loui0;Private;2018;Germany;
44;tennlos;Professional;2020;Poland;Rakowicka 20b/57, 31-510 KrakÛw, Poland
45;replicart71;Powerseller;2017;France;9 jardin de Florence , 01340 Montrevel en bresse, France
46;Bwabwa;Private;2009;France;
47;WhiteFoxThree;Private;2017;Netherlands;
48;Jean-Claire;Private;2017;France;
49;Berggeit;Private;2016;Netherlands;
50;NuggetGaming;Private;2020;United Kingdom;
51;ctouya;Private;2014;France;
52;Emisary121;Private;2019;Netherlands;
53;Espell;Private;2015;Italy;
54;ruben52;Private;2011;Netherlands;
55;procards;Professional;2015;Germany;Baiersdorfer Straﬂe 6a, 91341 Rˆttenbach , Germany
56;ludovic1968;Private;2012;France;
57;valis;Private;2011;Finland;
58;NoDrummer;Private;2014;Germany;
59;Styliann;Private;2011;France;
60;yannloison13;Private;2019;France;
61;masistuta;Private;2012;Netherlands;
62;Trade-Secrets;Private;2014;Netherlands;
63;phagma;Private;2014;France;
64;txbcards;Professional;2020;Austria;Ketteringstraﬂe 10, 4400 Steyr, Austria
65;Knightnight;Private;2019;Netherlands;
66;karasofr;Private;2019;France;
67;Pa-t-ch;Private;2016;Italy;
68;rogiol;Private;2018;Czech Republic;
69;danieldisco;Private;2020;Belgium;
70;Admiral-Haze;Private;2012;Germany;
71;aleeuwen1;Private;2019;Netherlands;
72;Geek-Corner;Professional;2017;United Kingdom;Regency Mall West 15, TS18 1EF Stockton On Tees, United Kingdom
73;Stefouch;Private;2013;Belgium;
74;pisqnek;Professional;2009;Poland;Gen. Wl. Andersa 38, 7 pietro, 15-113 Bialystok, Poland
75;Goodlookgamer;Professional;2018;Netherlands;Maarland Noordzijde 7, 3231CE Brielle, Netherlands
76;TopdeckDK;Professional;2016;Denmark;Carlsbergvej 32B, 3400 Hiller¯d, Denmark
77;sedehiMTG;Private;2011;Germany;
78;Magiccardshop;Powerseller;2014;Germany;L¸ssweg 10, 82418 Murnau, Germany
79;TCGWarehouse;Professional;2013;Germany;Gutenbergplatz 1, 04103 Leipzig, Germany
80;helpoemer;Private;2015;Germany;
81;Nerd-Shop;Professional;2017;Germany;Kaiserstraﬂe 50, 66849 Landstuhl, Germany
82;Andycards;Professional;2014;Italy;Viale dei Navigatori 4/a, 48122 Punta Marina Terme (RA), Italy
83;weiﬂer-Lotus;Professional;2009;Germany;Friedhofsweg 18, 61197 Florstadt, Germany
84;sanjic;Private;2012;France;
85;MagusDoVinhedo;Private;2012;Portugal;
86;Wintereinbruch;Private;2010;Germany;
87;Kissmaiass;Private;2014;Spain;
88;thewirtschaftswunder;Private;2015;Germany;
89;Felixuco;Private;2015;Spain;
90;Richaardi;Private;2015;Portugal;
91;diddos;Private;2012;Belgium;
92;dakkon87;Private;2011;Italy;
93;Mirikov;Private;2021;Germany;
94;BrandyBrand;Professional;2018;Germany;Auf dem Halmburger 6, 35043 Marburg, Germany
95;Giftsungiven;Private;2013;Portugal;
96;Gautch;Private;2017;France;
97;weiﬂer-Lotus;Professional;2009;Germany;Friedhofsweg 18, 61197 Florstadt, Germany
98;Glimrir;Private;2018;Denmark;
99;Dr4ken;Private;2018;Poland;
100;Praseodym;Private;2009;Germany;
101;Leidnix;Private;2011;Germany;
102;Netz122;Private;2009;Germany;
103;changar;Private;2012;France;
104;NechljudoW;Private;2013;Germany;
105;Phalnar;Private;2015;Switzerland;
106;Ginsch;Private;2020;Austria;
107;annor;Private;2018;Czech Republic;
108;Meister14;Private;2017;Spain;
109;Pastorius84;Private;2020;Italy;
110;Cardboard-Collector;Private;2020;Netherlands;
111;coupdegrac3;Private;2018;Austria;
112;ryuxuyr;Private;2019;Portugal;
113;jeh11;Private;2018;Switzerland;
114;MTGSander;Private;2017;Netherlands;
115;Xevkin;Private;2012;Ireland;
116;Sushi91;Private;2016;Czech Republic;
117;Plysier;Private;2019;Belgium;
118;jmskns69;Professional;2018;Estonia;Siili 3-8, 13422 Tallinn, Estonia
119;procrustean;Private;2013;United Kingdom;
120;DiamondValley;Private;2009;Germany;
121;DavidRuemmler;Professional;2015;Germany;Georg-Palitzsch-Straﬂe, 17, 01239 Dresden, Germany
122;magicislove;Private;2019;Germany;
123;sinac;Private;2011;Belgium;
124;FrankieR;Private;2012;Netherlands;
125;milesdererste;Private;2015;Germany;
126;Bennlipp;Private;2019;Germany;
127;Strat066;Private;2014;Germany;
128;AcidQueen;Private;2019;Greece;
129;Remin;Private;2017;Germany;
130;Wimmeeus;Private;2019;Belgium;
131;Orzi86;Private;2017;Poland;
132;Saunameister88;Private;2016;Germany;
133;moercel;Private;2015;Germany;
134;AceMagicDealer;Professional;2012;Spain;Lope De Vega N∫20 - 4∫D, 34001 Palencia, Spain
135;Diogenes;Private;2017;Greece;
136;Nomar;Private;2017;Spain;
137;patraspatras22;Private;2017;Spain;
138;La-Tetedeslip;Private;2018;France;
139;termestino;Private;2010;Spain;
140;scaveooz;Private;2014;France;
141;CrazyComicsAndGames;Professional;2011;Italy;Via Medaglie d'Oro 8, 21100 Varese, Italy
142;berjackie;Private;2015;France;
143;AVATAR-PL;Professional;2017;Poland
;144;weiﬂer-Lotus;Professional;2009;Germany;Friedhofsweg 18, 61197 Florstadt, Germany
